model_name,optimizer_name,epoch,train_loss,train_acc,test_loss,test_acc,epoch_train_time,epoch_test_time
Binary,Adam,6,0.007272116972257694,87.14666666666666,0.009173493914306163,84.87,13.097249746322632,14.722262382507324
Binary,Adam,7,0.006589440414433678,88.065,0.006280881693959236,89.12,13.886361598968506,15.579929113388062
Binary,Adam,8,0.006058085913335284,89.07166666666667,0.006399398200958967,88.88,13.350675344467163,15.051754236221313
Binary,Adam,9,0.005720119905285538,89.56833333333333,0.006027991494908929,89.43,13.86083698272705,15.495971441268921
Binary,Adam,10,0.005387467262210946,90.07166666666667,0.005724355947412551,89.51,13.502541303634644,15.129138708114624
Binary,AdaMax,1,0.013255049664589265,77.77166666666666,0.009247082917019724,82.66,12.767229557037354,14.673728942871094
Binary,AdaMax,2,0.007553264378632108,86.17333333333333,0.008289486646279693,85.65,13.059016466140747,14.710487604141235
Binary,AdaMax,3,0.006304712826634447,88.49833333333333,0.0063397356655448675,89.2,13.101290702819824,14.738817691802979
Binary,AdaMax,4,0.005293151420013359,90.32666666666667,0.006125035668723285,89.53,13.0444655418396,14.679768085479736
Binary,AdaMax,5,0.004556321406954279,91.56,0.005144348886422813,90.89,13.209456443786621,14.855362176895142
Binary,AdaMax,6,0.004088964438873033,92.36666666666666,0.004630693236924708,91.71,12.35318374633789,13.922637939453125
Binary,AdaMax,7,0.003660568642243743,93.04833333333333,0.004295162642281502,92.4,12.32765817642212,13.967069625854492
Binary,AdaMax,8,0.0034015785719268025,93.54,0.0036649971781298517,93.16,12.503876209259033,14.065846681594849
Binary,AdaMax,9,0.0031844809936049084,93.855,0.003402569993259385,93.83,12.712396144866943,14.604501962661743
Binary,AdaMax,10,0.003000295287836343,94.28,0.0034149958216119557,93.93,13.706607103347778,15.626206636428833
Binary,AdaDelta,1,0.005506522320738683,89.83833333333334,0.005223844878934324,89.52,12.956834554672241,14.723978757858276
Binary,AdaDelta,2,0.003520524042782684,93.225,0.0037428936104290187,92.96,13.508137702941895,15.127013206481934
Binary,AdaDelta,3,0.0030050806634748977,94.17333333333333,0.003445690523227677,93.46,13.47991156578064,15.067334651947021
Binary,AdaDelta,4,0.0027630780188987653,94.67,0.0031041801891289653,93.9,12.844692468643188,14.509299993515015
Binary,AdaDelta,5,0.002539317618869245,95.07833333333333,0.0032900128873530774,93.79,12.8632972240448,14.47498083114624
